vendor,day,beaten,total
AGD,1,28.801,779.4453145
BKG,1,30.332,820.8530296
EXP,1,31.997,853.10071
OYO,1,34.02,836.1971382
AGD,2,36.088,739.9811058
BKG,2,38.438,786.11336
EXP,2,39.854,978.0114388
OYO,2,40.822,852.3959448
AGD,3,41.674,649.3413952
BKG,3,41.763,635.341351
EXP,3,42.129,726.7340548
OYO,3,43.828,974.5803384
AGD,4,55.23,1601.056136
BKG,4,59.28,1942.284244
EXP,4,64.82,2312.888958
OYO,4,66.22,2760.196931
AGD,5,67.69,3313.422188
BKG,5,68.93,3533.00391
EXP,5,70.42,3630.880722
OYO,5,72,3738.932735
AGD,6,71.581,2497.437901
BKG,6,72.95,3193.054604
EXP,6,75.651,4604.211737
OYO,6,76.423,5937.029526
AGD,7,43.077,2449.008185
BKG,7,45.685,3013.976023
EXP,7,48.303,2550.81688
OYO,7,51.407,3246.991771
AGD,8,54.518,4182.663766
BKG,8,58.014,4910.416756
EXP,8,61.368,5745.160213
OYO,8,65.799,5681.358539
AGD,9,67.744,5023.216647
BKG,9,69.152,4797.295051
EXP,9,70.994,5288.040382
OYO,9,72.301,6223.367465
AGD,10,30.015,3520.610273
BKG,10,31.999,3827.940465
EXP,10,34,4269.276742
OYO,10,35.985,5522.776375
AGD,11,37.928,5473.288005
BKG,11,39.483,3008.647355
EXP,11,39.942,2756.953672
OYO,11,39.906,2430.208311
AGD,12,40.647,2627.845685
BKG,12,40.963,2277.140884
EXP,12,41.003,2773.287312
OYO,12,42.731,4797.231267
AGD,13,62.485,5911.315053
BKG,13,64.399,6856.856212
EXP,13,65.142,7133.166023
OYO,13,65.634,8052.953021
AGD,14,67.065,9443.038526
BKG,14,68.481,10079.02674
EXP,14,69.942,8997.897412
OYO,14,70.774,9139.671389
AGD,15,71.868,9308.41871
BKG,15,73.275,10967.28195
EXP,15,74.34,8797.640716
OYO,15,75.32,12779.37964
AGD,16,69.12,10039.59564
BKG,16,70.33,10949.64959
EXP,16,70.93,12217.22686
OYO,16,71.1,14526.12465
AGD,17,71.93,16788.62948
BKG,17,73.49,18334.19751
EXP,17,74.74,19477.00928
OYO,17,76.32,21888.88903
AGD,18,77.56,23424.76683
BKG,18,78.83,26997.93657
EXP,18,80.37,30687.75473
OYO,18,81.235,34435.36744
AGD,19,66.8,6137.076492
BKG,19,67.48,8842.59803
EXP,19,69.54,10750.72111
OYO,19,70.14,12834.6024
AGD,20,70.63,16661.6256
BKG,20,72.17,19749.4223
EXP,20,73.18,21597.08362
OYO,20,74.94,23687.82607
AGD,21,76.04,27042.01868
BKG,21,77.51,29095.92066
EXP,21,78.98,32417.60769
OYO,21,79.829,36126.4927
AGD,22,50.939,9867.084765
BKG,22,53.832,11635.79945
EXP,22,56.923,12753.27514
OYO,22,59.923,14804.6727
AGD,23,63.3,18268.65839
